country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Micronesia (country),FSM,2000,0,0,0,0,0,0,,0,3119
Middle SDI,,2000,6201,2772,6773,2654,1655,20055,,0.32,
Moldova,MDA,2000,0,0,0,0,0,0,4106736,0,2321
Mongolia,MNG,2000,0,0,0,0,0,0,2411369,0,4655
Montenegro,MNE,2000,0,0,0,0,0,0,632606,0,10397
Morocco,MAR,2000,0,0,5,1,1,7,28793236,0.01,4484
Mozambique,MOZ,2000,22698,2490,4096,2633,851,32768,18200656,37.83,562
Myanmar,MMR,2000,1501,603,2621,938,307,5970,44957660,1.63,1306
Namibia,NAM,2000,4,2,5,1,0,12,1895839,4.55,6106
Nepal,NPL,2000,691,254,100,55,31,1131,24400606,0.46,1540
Netherlands,NLD,2000,0,0,0,0,0,0,15862825,0,41722
New Zealand,NZL,2000,0,0,0,0,0,0,3858032,0,27620
Nicaragua,NIC,2000,5,2,4,1,1,13,5073704,0.65,3456
Niger,NER,2000,13622,1433,1452,872,411,17790,10922421,18.67,753
Nigeria,NGA,2000,152580,11487,17672,11845,6851,200435,123688536,30.44,2848
North Africa and Middle East,,2000,1998,399,2010,382,211,5000,,0.5,
North America,,2000,0,0,0,0,0,0,,0,45146
North Korea,PRK,2000,0,0,3,1,1,5,22894095,0.75,
Northern Ireland,,2000,0,0,0,0,0,0,,0,
Northern Mariana Islands,MNP,2000,0,0,0,0,0,0,68432,0,
Norway,NOR,2000,0,0,0,0,0,0,4490859,0,58045
Oceania,,2000,107,35,383,102,15,642,,8.11,
Oman,OMN,2000,0,0,0,0,0,0,2264163,0.01,43966
Pakistan,PAK,2000,1574,2522,820,371,282,5569,144522192,1.12,3495
Palestine,PSE,2000,0,0,0,0,0,0,,0,4203
Panama,PAN,2000,0,0,0,0,0,0,2956126,0.18,10625
Papua New Guinea,PNG,2000,100,33,357,94,14,598,5378824,10.43,2745
Paraguay,PRY,2000,0,0,0,0,0,0,5343539,0.41,6085
Peru,PER,2000,4,2,6,3,2,17,25861887,0.49,6563
Philippines,PHL,2000,28,33,108,40,17,226,77309965,0.04,4224
Poland,POL,2000,0,0,0,0,0,0,38302444,0,14732
Portugal,PRT,2000,0,0,0,0,0,0,10336209,0,25999
Puerto Rico,PRI,2000,0,0,0,0,0,0,3814353,0,31005
Qatar,QAT,2000,0,0,0,0,0,0,590957,0,108324
Romania,ROU,2000,0,0,0,0,0,0,22191683,0,10471
Russia,RUS,2000,0,0,0,0,0,0,146757517,0,14051
Rwanda,RWA,2000,5394,731,1553,882,271,8831,8098344,7.71,793
Saint Lucia,LCA,2000,0,0,0,0,0,0,157108,0,10927
Saint Vincent and the Grenadines,VCT,2000,0,0,0,0,0,0,107891,0,7555
Samoa,WSM,2000,0,0,0,0,0,0,176549,0,4326
Sao Tome and Principe,STP,2000,6,0,0,0,0,6,141010,21.31,
Saudi Arabia,SAU,2000,2,0,10,2,2,16,20045276,0.05,43071
Scotland,,2000,0,0,0,0,0,0,,0,
Senegal,SEN,2000,5258,738,1268,991,576,8831,9505862,12.31,1911
Serbia,SRB,2000,0,0,0,0,0,0,10133561,0,7985
Seychelles,SYC,2000,0,0,0,0,0,0,78685,0,18453
Sierra Leone,SLE,2000,8306,845,863,612,427,11053,4143115,30.34,913
Singapore,SGP,2000,0,0,0,0,0,0,3919300,0,51706
Slovakia,SVK,2000,0,0,0,0,0,0,5404845,0,15605
Slovenia,SVN,2000,0,0,0,0,0,0,1985406,0,22723
Solomon Islands,SLB,2000,0,0,1,2,0,3,408732,10.65,1817
Somalia,SOM,2000,2487,310,681,280,55,3813,7399033,4.82,
South Africa,ZAF,2000,27,39,170,35,10,281,44760380,0.01,9539
South Asia,,2000,45948,25744,9979,5694,3201,90566,,0.94,2520
South Korea,KOR,2000,0,0,3,1,1,5,45987624,0.1,20757
South Sudan,SSD,2000,3026,339,722,452,152,4691,6994624,20.44,
Southeast Asia,,2000,3135,1393,9250,3192,1656,18626,,0.59,
"Southeast Asia, East Asia, and Oceania",,2000,3246,1436,9740,3316,1698,19436,,0.25,
Southern Latin America,,2000,0,0,3,1,2,6,,0.02,
Southern Sub-Saharan Africa,,2000,476,290,326,61,23,1176,,1.44,
Spain,ESP,2000,0,0,0,0,0,0,40288457,0,29967
Sri Lanka,LKA,2000,68,40,175,117,61,461,18745084,1.27,5542
Sub-Saharan Africa,,2000,516522,52497,86723,56185,24312,736239,,21.92,2379
Sudan,SDN,2000,1754,353,1407,326,168,4008,27193105,4.23,2287
Suriname,SUR,2000,1,1,4,1,0,7,466846,3.32,9731
