,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
3462,Malawi,MWI,2008,11475,6715,829,2094,1297,539,948.0,14005113.0,23.24
3490,Malaysia,MYS,2008,10,1,0,5,3,2,20687.0,27502008.0,0.17
3518,Maldives,MDV,2008,0,0,0,0,0,0,12745.0,307632.0,0.0
3546,Mali,MLI,2008,27310,21708,1702,1811,1381,707,1809.0,14459990.0,27.55
3574,Malta,MLT,2008,0,0,0,0,0,0,28438.0,413946.0,0.0
3602,Marshall Islands,MHL,2008,0,0,0,0,0,0,3336.0,52880.0,0.0
3630,Mauritania,MRT,2008,298,118,21,61,60,37,3389.0,3295254.0,2.22
3658,Mauritius,MUS,2008,0,0,0,0,0,0,14855.0,1283849.0,0.0
3686,Mexico,MEX,2008,9,0,0,6,2,2,16293.0,110627158.0,0.02
3714,Micronesia (country),FSM,2008,0,0,0,0,0,0,3168.0,,0.0
3742,Middle SDI,,2008,16878,4524,2158,5821,2497,1878,,,0.28
3770,Moldova,MDA,2008,0,0,0,0,0,0,3876.0,3635059.0,0.0
3798,Mongolia,MNG,2008,0,0,0,0,0,0,7576.0,2667474.0,0.0
3826,Montenegro,MNE,2008,0,0,0,0,0,0,14559.0,629185.0,0.0
3854,Morocco,MAR,2008,0,0,0,0,0,0,6107.0,31321453.0,0.0
3882,Mozambique,MOZ,2008,23003,13558,2005,3979,2592,869,858.0,22332900.0,26.58
3910,Myanmar,MMR,2008,6039,1114,577,2729,1253,366,3112.0,47250315.0,1.69
3938,Namibia,NAM,2008,8,3,1,3,1,0,8208.0,2200422.0,0.42
3966,Nepal,NPL,2008,1009,530,254,112,68,45,1850.0,28905358.0,0.35
3994,Netherlands,NLD,2008,0,0,0,0,0,0,47134.0,16503263.0,0.0
4022,New Zealand,NZL,2008,0,0,0,0,0,0,31881.0,4277809.0,0.0
4050,Nicaragua,NIC,2008,3,0,0,1,0,0,4092.0,5635577.0,0.14
4078,Niger,NER,2008,30435,22591,2321,2632,2005,885,816.0,14450007.0,25.06
4106,Nigeria,NGA,2008,241186,182209,15686,20975,14455,7861,4711.0,150665730.0,28.38
4134,North Africa and Middle East,,2008,3565,1233,275,1687,246,123,,,0.28
4162,North America,,2008,0,0,0,0,0,0,49521.0,,0.0
4190,North Korea,PRK,2008,4,0,0,2,1,1,,24126329.0,0.23
4218,Northern Ireland,,2008,0,0,0,0,0,0,,,0.0
4246,Northern Mariana Islands,MNP,2008,0,0,0,0,0,0,,62707.0,0.0
4274,Norway,NOR,2008,0,0,0,0,0,0,64586.0,4778959.0,0.0
4302,Oceania,,2008,722,113,34,409,144,21,,,4.91
4330,Oman,OMN,2008,0,0,0,0,0,0,44939.0,2636963.0,0.0
4358,Pakistan,PAK,2008,5446,1363,2484,843,428,328,4273.0,167442258.0,1.18
