country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Norway,NOR,2000,0,0,0,0,0,0,4490859.0,0.0,58045.0
Oceania,,2000,107,35,383,102,15,642,,8.11,
Oman,OMN,2000,0,0,0,0,0,0,2264163.0,0.01,43966.0
Pakistan,PAK,2000,1574,2522,820,371,282,5569,144522192.0,1.12,3495.0
Palestine,PSE,2000,0,0,0,0,0,0,,0.0,4203.0
Panama,PAN,2000,0,0,0,0,0,0,2956126.0,0.18,10625.0
Papua New Guinea,PNG,2000,100,33,357,94,14,598,5378824.0,10.43,2745.0
Paraguay,PRY,2000,0,0,0,0,0,0,5343539.0,0.41,6085.0
Peru,PER,2000,4,2,6,3,2,17,25861887.0,0.49,6563.0
Philippines,PHL,2000,28,33,108,40,17,226,77309965.0,0.04,4224.0
Poland,POL,2000,0,0,0,0,0,0,38302444.0,0.0,14732.0
Portugal,PRT,2000,0,0,0,0,0,0,10336209.0,0.0,25999.0
Puerto Rico,PRI,2000,0,0,0,0,0,0,3814353.0,0.0,31005.0
Qatar,QAT,2000,0,0,0,0,0,0,590957.0,0.0,108324.0
Romania,ROU,2000,0,0,0,0,0,0,22191683.0,0.0,10471.0
Russia,RUS,2000,0,0,0,0,0,0,146757517.0,0.0,14051.0
Rwanda,RWA,2000,5394,731,1553,882,271,8831,8098344.0,7.71,793.0
Saint Lucia,LCA,2000,0,0,0,0,0,0,157108.0,0.0,10927.0
Saint Vincent and the Grenadines,VCT,2000,0,0,0,0,0,0,107891.0,0.0,7555.0
Samoa,WSM,2000,0,0,0,0,0,0,176549.0,0.0,4326.0
Sao Tome and Principe,STP,2000,6,0,0,0,0,6,141010.0,21.31,
Saudi Arabia,SAU,2000,2,0,10,2,2,16,20045276.0,0.05,43071.0
Scotland,,2000,0,0,0,0,0,0,,0.0,
Senegal,SEN,2000,5258,738,1268,991,576,8831,9505862.0,12.31,1911.0
Serbia,SRB,2000,0,0,0,0,0,0,10133561.0,0.0,7985.0
Seychelles,SYC,2000,0,0,0,0,0,0,78685.0,0.0,18453.0
Sierra Leone,SLE,2000,8306,845,863,612,427,11053,4143115.0,30.34,913.0
Singapore,SGP,2000,0,0,0,0,0,0,3919300.0,0.0,51706.0
Slovakia,SVK,2000,0,0,0,0,0,0,5404845.0,0.0,15605.0
Slovenia,SVN,2000,0,0,0,0,0,0,1985406.0,0.0,22723.0
Solomon Islands,SLB,2000,0,0,1,2,0,3,408732.0,10.65,1817.0
Somalia,SOM,2000,2487,310,681,280,55,3813,7399033.0,4.82,
South Africa,ZAF,2000,27,39,170,35,10,281,44760380.0,0.01,9539.0
South Asia,,2000,45948,25744,9979,5694,3201,90566,,0.94,2520.0
South Korea,KOR,2000,0,0,3,1,1,5,45987624.0,0.1,20757.0
South Sudan,SSD,2000,3026,339,722,452,152,4691,6994624.0,20.44,
Southeast Asia,,2000,3135,1393,9250,3192,1656,18626,,0.59,
"Southeast Asia, East Asia, and Oceania",,2000,3246,1436,9740,3316,1698,19436,,0.25,
Southern Latin America,,2000,0,0,3,1,2,6,,0.02,
Southern Sub-Saharan Africa,,2000,476,290,326,61,23,1176,,1.44,
Spain,ESP,2000,0,0,0,0,0,0,40288457.0,0.0,29967.0
Sri Lanka,LKA,2000,68,40,175,117,61,461,18745084.0,1.27,5542.0
Sub-Saharan Africa,,2000,516522,52497,86723,56185,24312,736239,,21.92,2379.0
Sudan,SDN,2000,1754,353,1407,326,168,4008,27193105.0,4.23,2287.0
Suriname,SUR,2000,1,1,4,1,0,7,466846.0,3.32,9731.0
Swaziland,SWZ,2000,3,1,2,1,0,7,1063832.0,0.17,5839.0
Sweden,SWE,2000,0,0,0,0,0,0,8860153.0,0.0,36855.0
Switzerland,CHE,2000,0,0,0,0,0,0,7167908.0,0.0,50776.0
Syria,SYR,2000,0,0,1,0,0,1,15988534.0,0.0,
Taiwan,TWN,2000,0,0,0,0,0,0,22183000.0,0.0,
Tajikistan,TJK,2000,20,0,3,1,1,25,6172807.0,0.65,1180.0
Tanzania,TZA,2000,23673,2510,4335,3068,1167,34753,34038161.0,21.49,1482.0
Thailand,THA,2000,28,37,265,54,33,417,63155029.0,0.45,9189.0
Timor,TLS,2000,1,0,1,0,0,2,,2.63,3308.0
Togo,TGO,2000,3457,452,689,456,208,5262,4793504.0,37.54,1277.0
Tonga,TON,2000,0,0,0,0,0,0,97935.0,0.0,4602.0
