,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
3538,Mali,MLI,2000,19582,15485,1281,1309,1064,444,1463.0,11295324.0,26.18
3566,Malta,MLT,2000,0,0,0,0,0,0,24624.0,397420.0,0.0
3594,Marshall Islands,MHL,2000,0,0,0,0,0,0,2894.0,52145.0,0.0
3622,Mauritania,MRT,2000,277,119,22,54,52,30,2751.0,2642743.0,2.89
3650,Mauritius,MUS,2000,0,0,0,0,0,0,11077.0,1196027.0,0.0
3678,Mexico,MEX,2000,14,0,0,8,2,2,15683.0,99959594.0,0.05
3706,Micronesia (country),FSM,2000,0,0,0,0,0,0,3119.0,,0.0
3734,Middle SDI,,2000,20056,6201,2772,6773,2654,1655,,,0.32
3762,Moldova,MDA,2000,0,0,0,0,0,0,2321.0,4106736.0,0.0
3790,Mongolia,MNG,2000,0,0,0,0,0,0,4655.0,2411369.0,0.0
3818,Montenegro,MNE,2000,0,0,0,0,0,0,10397.0,632606.0,0.0
3846,Morocco,MAR,2000,7,0,0,5,1,1,4484.0,28793236.0,0.01
3874,Mozambique,MOZ,2000,32768,22698,2490,4096,2633,851,562.0,18200656.0,37.83
3902,Myanmar,MMR,2000,5971,1501,603,2621,938,307,1306.0,44957660.0,1.63
3930,Namibia,NAM,2000,12,4,2,5,1,0,6106.0,1895839.0,4.55
3958,Nepal,NPL,2000,1132,691,254,100,55,31,1540.0,24400606.0,0.46
3986,Netherlands,NLD,2000,0,0,0,0,0,0,41722.0,15862825.0,0.0
4014,New Zealand,NZL,2000,0,0,0,0,0,0,27620.0,3858032.0,0.0
4042,Nicaragua,NIC,2000,12,5,2,4,1,1,3456.0,5073704.0,0.65
4070,Niger,NER,2000,17791,13622,1433,1452,872,411,753.0,10922421.0,18.67
4098,Nigeria,NGA,2000,200435,152580,11487,17672,11845,6851,2848.0,123688536.0,30.44
4126,North Africa and Middle East,,2000,5000,1998,399,2010,382,211,,,0.5
4154,North America,,2000,0,0,0,0,0,0,45146.0,,0.0
4182,North Korea,PRK,2000,5,0,0,3,1,1,,22894095.0,0.75
4210,Northern Ireland,,2000,0,0,0,0,0,0,,,0.0
4238,Northern Mariana Islands,MNP,2000,0,0,0,0,0,0,,68432.0,0.0
4266,Norway,NOR,2000,0,0,0,0,0,0,58045.0,4490859.0,0.0
4294,Oceania,,2000,642,107,35,383,102,15,,,8.11
4322,Oman,OMN,2000,0,0,0,0,0,0,43966.0,2264163.0,0.01
4350,Pakistan,PAK,2000,5569,1574,2522,820,371,282,3495.0,144522192.0,1.12
4378,Palestine,PSE,2000,0,0,0,0,0,0,4203.0,,0.0
4406,Panama,PAN,2000,0,0,0,0,0,0,10625.0,2956126.0,0.18
4434,Papua New Guinea,PNG,2000,597,100,33,357,94,14,2745.0,5378824.0,10.43
4462,Paraguay,PRY,2000,1,0,0,0,0,0,6085.0,5343539.0,0.41
4490,Peru,PER,2000,17,4,2,6,3,2,6563.0,25861887.0,0.49
4518,Philippines,PHL,2000,226,28,33,108,40,17,4224.0,77309965.0,0.04
4546,Poland,POL,2000,0,0,0,0,0,0,14732.0,38302444.0,0.0
4574,Portugal,PRT,2000,0,0,0,0,0,0,25999.0,10336209.0,0.0
4602,Puerto Rico,PRI,2000,0,0,0,0,0,0,31005.0,3814353.0,0.0
4630,Qatar,QAT,2000,0,0,0,0,0,0,108324.0,590957.0,0.0
4658,Romania,ROU,2000,0,0,0,0,0,0,10471.0,22191683.0,0.0
4686,Russia,RUS,2000,0,0,0,0,0,0,14051.0,146757517.0,0.0
4714,Rwanda,RWA,2000,8830,5394,731,1553,882,271,793.0,8098344.0,7.71
4742,Saint Lucia,LCA,2000,0,0,0,0,0,0,10927.0,157108.0,0.0
4770,Saint Vincent and the Grenadines,VCT,2000,0,0,0,0,0,0,7555.0,107891.0,0.0
4798,Samoa,WSM,2000,0,0,0,0,0,0,4326.0,176549.0,0.0
4826,Sao Tome and Principe,STP,2000,6,6,0,0,0,0,,141010.0,21.31
4854,Saudi Arabia,SAU,2000,15,2,0,10,2,2,43071.0,20045276.0,0.05
4882,Scotland,,2000,0,0,0,0,0,0,,,0.0
4910,Senegal,SEN,2000,8831,5258,738,1268,991,576,1911.0,9505862.0,12.31
4938,Serbia,SRB,2000,0,0,0,0,0,0,7985.0,10133561.0,0.0
4966,Seychelles,SYC,2000,0,0,0,0,0,0,18453.0,78685.0,0.0
4994,Sierra Leone,SLE,2000,11053,8306,845,863,612,427,913.0,4143115.0,30.34
5022,Singapore,SGP,2000,0,0,0,0,0,0,51706.0,3919300.0,0.0
5050,Slovakia,SVK,2000,0,0,0,0,0,0,15605.0,5404845.0,0.0
5078,Slovenia,SVN,2000,0,0,0,0,0,0,22723.0,1985406.0,0.0
5106,Solomon Islands,SLB,2000,3,0,0,1,2,0,1817.0,408732.0,10.65
5134,Somalia,SOM,2000,3814,2487,310,681,280,55,,7399033.0,4.82
5162,South Africa,ZAF,2000,281,27,39,170,35,10,9539.0,44760380.0,0.01
5190,South Asia,,2000,90566,45948,25744,9979,5694,3201,2520.0,,0.94
5218,South Korea,KOR,2000,6,0,0,3,1,1,20757.0,45987624.0,0.1
5246,South Sudan,SSD,2000,4691,3026,339,722,452,152,,6994624.0,20.44
5274,Southeast Asia,,2000,18625,3135,1393,9250,3192,1656,,,0.59
5302,"Southeast Asia, East Asia, and Oceania",,2000,19437,3246,1436,9740,3316,1698,,,0.25
5330,Southern Latin America,,2000,6,0,0,3,1,2,,,0.02
5358,Southern Sub-Saharan Africa,,2000,1176,476,290,326,61,23,,,1.44
5386,Spain,ESP,2000,0,0,0,0,0,0,29967.0,40288457.0,0.0
5414,Sri Lanka,LKA,2000,461,68,40,175,117,61,5542.0,18745084.0,1.27
5442,Sub-Saharan Africa,,2000,736238,516522,52497,86723,56185,24312,2379.0,,21.92
5470,Sudan,SDN,2000,4008,1754,353,1407,326,168,2287.0,27193105.0,4.23
5498,Suriname,SUR,2000,8,1,1,4,1,0,9731.0,466846.0,3.32
5526,Swaziland,SWZ,2000,6,3,1,2,1,0,5839.0,1063832.0,0.17
5554,Sweden,SWE,2000,0,0,0,0,0,0,36855.0,8860153.0,0.0
5582,Switzerland,CHE,2000,0,0,0,0,0,0,50776.0,7167908.0,0.0
5610,Syria,SYR,2000,1,0,0,1,0,0,,15988534.0,0.0
5638,Taiwan,TWN,2000,0,0,0,0,0,0,,22183000.0,0.0
5666,Tajikistan,TJK,2000,24,20,0,3,1,1,1180.0,6172807.0,0.65
5694,Tanzania,TZA,2000,34754,23673,2510,4335,3068,1167,1482.0,34038161.0,21.49
5722,Thailand,THA,2000,417,28,37,265,54,33,9189.0,63155029.0,0.45
5750,Timor,TLS,2000,2,1,0,1,0,0,3308.0,,2.63
5778,Togo,TGO,2000,5262,3457,452,689,456,208,1277.0,4793504.0,37.54
5806,Tonga,TON,2000,0,0,0,0,0,0,4602.0,97935.0,0.0
5834,Trinidad and Tobago,TTO,2000,0,0,0,0,0,0,18324.0,1292058.0,0.0
5862,Tropical Latin America,,2000,148,39,19,63,18,10,,,0.25
5890,Tunisia,TUN,2000,0,0,0,0,0,0,7574.0,9456117.0,0.0
5918,Turkey,TUR,2000,7,0,0,4,2,1,13862.0,63627862.0,0.09
5946,Turkmenistan,TKM,2000,0,0,0,0,0,0,5333.0,4501419.0,0.0
5974,Uganda,UGA,2000,57160,41733,4256,6162,3748,1260,1050.0,24213120.0,35.65
6002,Ukraine,UKR,2000,0,0,0,0,0,0,4797.0,48891792.0,0.0
6030,United Arab Emirates,ARE,2000,0,0,0,0,0,0,102635.0,3033491.0,0.0
6058,United Kingdom,GBR,2000,0,0,0,0,0,0,33266.0,58874117.0,0.0
6086,United States,USA,2000,0,0,0,0,0,0,45986.0,282496310.0,0.0
6114,United States Virgin Islands,VIR,2000,0,0,0,0,0,0,,,0.0
6142,Uruguay,URY,2000,0,0,0,0,0,0,12875.0,3319066.0,0.0
6170,Uzbekistan,UZB,2000,5,0,0,3,1,1,2504.0,24775610.0,0.02
6198,Vanuatu,VUT,2000,1,0,0,0,0,0,2823.0,185074.0,5.53
6226,Venezuela,VEN,2000,25,4,2,13,4,2,14413.0,24348304.0,0.36
6254,Vietnam,VNM,2000,1034,77,40,499,215,204,2562.0,78758010.0,0.38
6282,Wales,,2000,0,0,0,0,0,0,,,0.0
6310,Western Europe,,2000,13,0,0,7,6,0,,,0.0
6338,Western Sub-Saharan Africa,,2000,394427,284639,26520,39652,28077,15539,,,29.46
6366,World,OWID_WRL,2000,851797,567847,80142,108688,65654,29467,10346.0,,2.84
6394,Yemen,YEM,2000,6,0,0,5,0,0,3894.0,,3.23
6422,Zambia,ZMB,2000,6484,4156,582,1011,565,169,2103.0,10201562.0,16.95
6450,Zimbabwe,ZWE,2000,870,440,248,146,24,13,2583.0,12509477.0,7.05
