country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Eastern Europe,,2008,0,0,0,0,0,0,,0,0
Eastern Sub-Saharan Africa,,2008,83092,10531,23866,13688,4715,135892,,10.11,0
Ecuador,ECU,2008,1,1,4,1,2,9,14056740,0.18,9286
Egypt,EGY,2008,0,0,0,0,0,0,78323298,0,9305
El Salvador,SLV,2008,0,0,1,0,0,1,6129628,0.02,6358
England,,2008,0,0,0,0,0,0,,0,0
Equatorial Guinea,GNQ,2008,725,94,166,94,31,1110,662327,38.95,40016
Eritrea,ERI,2008,2,0,5,0,0,7,4947521,0.71,1384
Estonia,EST,2008,0,0,0,0,0,0,1342145,0,25969
Ethiopia,ETH,2008,2670,482,1565,742,219,5678,79446419,1.68,925
Fiji,FJI,2008,0,0,0,0,0,0,843651,0,7384
Finland,FIN,2008,0,0,0,0,0,0,5316334,0,42575
France,FRA,2008,0,0,0,0,2,2,62098413,0,37618
Gabon,GAB,2008,218,38,158,128,41,583,1450310,9.71,15288
Gambia,GMB,2008,140,22,89,69,47,367,1636107,2.89,1545
Georgia,GEO,2008,0,0,0,0,0,0,4394018,0.02,6408
Germany,DEU,2008,0,0,0,0,5,5,82475271,0,40989
Ghana,GHA,2008,13133,2210,7457,5351,3220,31371,23264176,27.63,2845
Greece,GRC,2008,0,0,0,0,0,0,11291807,0,31882
Greenland,GRL,2008,0,0,0,0,0,0,57317,0,0
Grenada,GRD,2008,0,0,0,0,0,0,103723,0,12118
Guam,GUM,2008,0,0,0,0,0,0,175538,0,0
Guatemala,GTM,2008,1,1,7,3,2,14,13690846,0.36,6782
Guinea,GIN,2008,10180,1276,1582,1424,921,15383,9559110,34.26,1587
Guinea-Bissau,GNB,2008,180,28,90,64,31,393,1453757,4.54,1361
Guyana,GUY,2008,1,1,8,2,1,13,751578,2.34,5425
Haiti,HTI,2008,1,1,7,1,1,11,9736332,1.02,1589
High SDI,,2008,0,0,2,1,12,15,,0,0
High-income,,2008,0,0,3,2,12,17,,0,0
High-income Asia Pacific,,2008,0,0,1,1,1,3,,0.01,0
High-middle SDI,,2008,148,76,398,100,71,793,,0.02,0
Honduras,HND,2008,5,6,18,4,3,36,7302742,0.35,4084
